"Site","Year","K_avg"
"Bells","2017",1.59402619532016
"Bridge","2017",6.32411837262128
"Buoy 2","2017",4.41634248187614
"EC 1163","2017",3.64922306132372
"ODNR 1","2017",4.57500881193382
"ODNR 2","2017",5.10685859815279
"ODNR 4","2017",7.99486905347681
"ODNR 6","2017",6.05266373186881
"Bells","2020",0.648786475179103
"Buoy 2","2020",1.78207053926906
"EC 1163","2020",1.70377144597273
"Muddy Creek","2020",6.63091157860511
"ODNR 1","2020",1.82602675967382
"ODNR 2","2020",2.43969987298992
"ODNR 4","2020",4.06335717356525
NA,"2020",4.25576655396116
"ODNR 6","2020",2.99222403622474
"Bells","2021",0.9001853634641
"Buoy 2","2021",2.22833731596067
"EC 1163","2021",1.80855202780178
"Muddy Creek","2021",7.20109248250522
"ODNR 1","2021",1.83491680847068
"ODNR 4","2021",4.84258082303218
"ODNR 6","2021",3.88823637992272
"Bells","2022",1.15664764055117
"Buoy 2","2022",2.60153288785912
"Causeway","2022",2.50471069190228
"EC 1163","2022",2.40635151984112
"Muddy Creek","2022",7.72395630733436
"ODNR 1","2022",2.78919195047103
"ODNR 2","2022",3.08592347156885
"ODNR 4","2022",5.593767093733
"ODNR 6","2022",4.29183338320159
