"Site","Date","Type","Analysis","count","year","month","day","DOY","notes"
"Bay Intake",2016-04-22,"Chlorophyll","avg_chl",30.95,2016,4,22,113,""
"Bay Intake",2016-04-22,"Chlorophyll sd","sd_chl",3.04019736201451,2016,4,22,113,""
"Bay Intake",2016-05-19,"Chlorophyll","avg_chl",17.0833333333333,2016,5,19,140,""
"Bay Intake",2016-05-19,"Chlorophyll sd","sd_chl",0.575181130891246,2016,5,19,140,""
"Bay Intake",2016-05-30,"Chlorophyll","avg_chl",12.45,2016,5,30,151,""
"Bay Intake",2016-05-30,"Chlorophyll sd","sd_chl",3.67695526217005,2016,5,30,151,""
"Bay Intake",2016-05-09,"Chlorophyll","avg_chl",17.4833333333333,2016,5,9,130,""
"Bay Intake",2016-05-09,"Chlorophyll sd","sd_chl",1.88797069186292,2016,5,9,130,""
"Bells",2016-06-15,"Chlorophyll","avg_chl",11.4366666666667,2016,6,15,167,""
"Bells",2016-06-15,"Chlorophyll sd","sd_chl",0.959183680706325,2016,6,15,167,""
"Bells",2016-06-22,"Chlorophyll","avg_chl",5.80333333333333,2016,6,22,174,""
"Bells",2016-06-22,"Chlorophyll sd","sd_chl",1.37143477181138,2016,6,22,174,""
"Bells",2016-07-11,"Chlorophyll","avg_chl",6.23,2016,7,11,193,""
"Bells",2016-07-11,"Chlorophyll sd","sd_chl",1.0105938848024,2016,7,11,193,""
"Bells",2016-07-25,"Chlorophyll","avg_chl",4.8,2016,7,25,207,""
"Bells",2016-07-25,"Chlorophyll sd","sd_chl",0.542862781925599,2016,7,25,207,""
"Bells",2016-07-27,"Chlorophyll","avg_chl",4.9,2016,7,27,209,""
"Bells",2016-07-27,"Chlorophyll sd","sd_chl",0.96938124595022,2016,7,27,209,""
"Bells",2016-07-06,"Chlorophyll","avg_chl",10.81,2016,7,6,188,""
"Bells",2016-07-06,"Chlorophyll sd","sd_chl",5.0683231941146,2016,7,6,188,""
"Bells",2016-08-17,"Chlorophyll","avg_chl",6.15666666666667,2016,8,17,230,""
"Bells",2016-08-17,"Chlorophyll sd","sd_chl",2.53055988534817,2016,8,17,230,""
"Bells",2016-08-03,"Chlorophyll","avg_chl",5.70333333333333,2016,8,3,216,""
"Bells",2016-08-03,"Chlorophyll sd","sd_chl",0.570116947067295,2016,8,3,216,""
"Bells",2016-08-31,"Chlorophyll","avg_chl",12.18,2016,8,31,244,""
"Bells",2016-08-31,"Chlorophyll sd","sd_chl",1.12467773161915,2016,8,31,244,""
"Clemons",2016-04-22,"Chlorophyll","avg_chl",44.2833333333333,2016,4,22,113,""
"Clemons",2016-04-22,"Chlorophyll sd","sd_chl",2.57643810974247,2016,4,22,113,""
"Clemons",2016-04-30,"Chlorophyll","avg_chl",53.7766666666667,2016,4,30,121,""
"Clemons",2016-04-30,"Chlorophyll sd","sd_chl",4.42503483978752,2016,4,30,121,""
"Clemons",2016-05-19,"Chlorophyll","avg_chl",31.1333333333333,2016,5,19,140,""
"Clemons",2016-05-19,"Chlorophyll sd","sd_chl",2.78851812497845,2016,5,19,140,""
"Clemons",2016-05-30,"Chlorophyll","avg_chl",11.4833333333333,2016,5,30,151,""
"Clemons",2016-05-30,"Chlorophyll sd","sd_chl",2.70015431657773,2016,5,30,151,""
"Clemons",2016-05-09,"Chlorophyll","avg_chl",40.52,2016,5,9,130,""
"Clemons",2016-05-09,"Chlorophyll sd","sd_chl",5.99302094106136,2016,5,9,130,""
"EC_1163",2016-06-15,"Chlorophyll","avg_chl",10.39,2016,6,15,167,""
"EC_1163",2016-06-15,"Chlorophyll sd","sd_chl",2.27769620450138,2016,6,15,167,""
"EC_1163",2016-06-22,"Chlorophyll","avg_chl",4.17,2016,6,22,174,""
"EC_1163",2016-06-22,"Chlorophyll sd","sd_chl",0.685054742338158,2016,6,22,174,""
"EC_1163",2016-07-11,"Chlorophyll","avg_chl",18.4,2016,7,11,193,""
"EC_1163",2016-07-11,"Chlorophyll sd","sd_chl",5.94187680787813,2016,7,11,193,""
"EC_1163",2016-07-25,"Chlorophyll","avg_chl",40.5266666666667,2016,7,25,207,""
"EC_1163",2016-07-25,"Chlorophyll sd","sd_chl",5.32015350655724,2016,7,25,207,""
"EC_1163",2016-07-27,"Chlorophyll","avg_chl",41.9666666666667,2016,7,27,209,""
"EC_1163",2016-07-27,"Chlorophyll sd","sd_chl",3.31285878560094,2016,7,27,209,""
"EC_1163",2016-07-06,"Chlorophyll","avg_chl",9.64,2016,7,6,188,""
"EC_1163",2016-07-06,"Chlorophyll sd","sd_chl",2.64289613870844,2016,7,6,188,""
"EC_1163",2016-08-17,"Chlorophyll","avg_chl",23.91,2016,8,17,230,""
