"Date","Site","Type","Analysis","count","year","month","day","DOY","notes"
2016-04-22,"Bay_Intake_Surface","Environmental Sonde","Temperature",13.92,2016,4,22,113,""
2016-04-22,"Bay_Intake_Surface","Environmental Sonde","Conductivity",425,2016,4,22,113,""
2016-04-22,"Bay_Intake_Surface","Environmental Sonde","Dissolved_Oxygen",7.17,2016,4,22,113,""
2016-04-22,"Bay_Intake_Surface","Environmental Sonde","pH",8.33,2016,4,22,113,""
2016-04-22,"Bay_Intake","Environmental Sonde","Temperature",13.92,2016,4,22,113,""
2016-04-22,"Bay_Intake","Environmental Sonde","Conductivity",425,2016,4,22,113,""
2016-04-22,"Bay_Intake","Environmental Sonde","Dissolved_Oxygen",6.77,2016,4,22,113,""
2016-04-22,"Bay_Intake","Environmental Sonde","pH",8,2016,4,22,113,""
2016-04-22,"Clemons_Surface","Environmental Sonde","Temperature",13.38,2016,4,22,113,""
2016-04-22,"Clemons_Surface","Environmental Sonde","Conductivity",514,2016,4,22,113,""
2016-04-22,"Clemons_Surface","Environmental Sonde","Dissolved_Oxygen",9.31,2016,4,22,113,""
2016-04-22,"Clemons_Surface","Environmental Sonde","pH",9.25,2016,4,22,113,""
2016-04-22,"Clemons","Environmental Sonde","Temperature",13.04,2016,4,22,113,""
2016-04-22,"Clemons","Environmental Sonde","Conductivity",517,2016,4,22,113,""
2016-04-22,"Clemons","Environmental Sonde","Dissolved_Oxygen",7.43,2016,4,22,113,""
2016-04-22,"Clemons","Environmental Sonde","pH",7.34,2016,4,22,113,""
2016-04-22,"Sandusky_River","Environmental Sonde","Temperature",15.69,2016,4,22,113,""
2016-04-22,"Sandusky_River","Environmental Sonde","Conductivity",597,2016,4,22,113,""
2016-04-22,"Sandusky_River","Environmental Sonde","Dissolved_Oxygen",9.52,2016,4,22,113,""
2016-04-22,"Sandusky_River","Environmental Sonde","pH",8.61,2016,4,22,113,""
2016-04-30,"Clemons_Surface","Environmental Sonde","Temperature",12.19,2016,4,30,121,""
2016-04-30,"Clemons_Surface","Environmental Sonde","Conductivity",510,2016,4,30,121,""
2016-04-30,"Clemons_Surface","Environmental Sonde","Dissolved_Oxygen",5.04,2016,4,30,121,""
2016-04-30,"Clemons_Surface","Environmental Sonde","pH",10.14,2016,4,30,121,""
2016-04-30,"Clemons","Environmental Sonde","Temperature",12.04,2016,4,30,121,""
2016-04-30,"Clemons","Environmental Sonde","Conductivity",511,2016,4,30,121,""
2016-04-30,"Clemons","Environmental Sonde","Dissolved_Oxygen",4.85,2016,4,30,121,""
2016-04-30,"Clemons","Environmental Sonde","pH",10.05,2016,4,30,121,""
2016-05-09,"Bay_Intake_Surface","Environmental Sonde","Temperature",15.31,2016,5,9,130,""
2016-05-09,"Bay_Intake_Surface","Environmental Sonde","Conductivity",424,2016,5,9,130,""
2016-05-09,"Bay_Intake_Surface","Environmental Sonde","Dissolved_Oxygen",0.27,2016,5,9,130,""
2016-05-09,"Bay_Intake_Surface","Environmental Sonde","pH",10.07,2016,5,9,130,""
2016-05-09,"Bay_Intake","Environmental Sonde","Temperature",15.29,2016,5,9,130,""
2016-05-09,"Bay_Intake","Environmental Sonde","Conductivity",425,2016,5,9,130,""
2016-05-09,"Bay_Intake","Environmental Sonde","Dissolved_Oxygen",0.25,2016,5,9,130,""
2016-05-09,"Bay_Intake","Environmental Sonde","pH",10.09,2016,5,9,130,""
2016-05-09,"Clemons_Surface","Environmental Sonde","Temperature",15.85,2016,5,9,130,""
2016-05-09,"Clemons_Surface","Environmental Sonde","Conductivity",406,2016,5,9,130,""
2016-05-09,"Clemons_Surface","Environmental Sonde","Dissolved_Oxygen",0.26,2016,5,9,130,""
2016-05-09,"Clemons_Surface","Environmental Sonde","pH",9.93,2016,5,9,130,""
2016-05-09,"Clemons","Environmental Sonde","Temperature",15.77,2016,5,9,130,""
2016-05-09,"Clemons","Environmental Sonde","Conductivity",487,2016,5,9,130,""
2016-05-09,"Clemons","Environmental Sonde","Dissolved_Oxygen",0.26,2016,5,9,130,""
2016-05-09,"Clemons","Environmental Sonde","pH",9.96,2016,5,9,130,""
2016-05-09,"Sandusky_River","Environmental Sonde","Temperature",16.07,2016,5,9,130,""
2016-05-09,"Sandusky_River","Environmental Sonde","Conductivity",557,2016,5,9,130,""
2016-05-09,"Sandusky_River","Environmental Sonde","Dissolved_Oxygen",0.24,2016,5,9,130,""
2016-05-09,"Sandusky_River","Environmental Sonde","pH",9.62,2016,5,9,130,""
2016-05-19,"Bay_Intake_Surface","Environmental Sonde","Temperature",15.02,2016,5,19,140,""
2016-05-19,"Bay_Intake_Surface","Environmental Sonde","Conductivity",437,2016,5,19,140,""
2016-05-19,"Bay_Intake_Surface","Environmental Sonde","Dissolved_Oxygen",11.75,2016,5,19,140,""
2016-05-19,"Bay_Intake_Surface","Environmental Sonde","pH",9.23,2016,5,19,140,""
2016-05-19,"Bay_Intake","Environmental Sonde","Temperature",14.9,2016,5,19,140,""
2016-05-19,"Bay_Intake","Environmental Sonde","Conductivity",437,2016,5,19,140,""
2016-05-19,"Bay_Intake","Environmental Sonde","Dissolved_Oxygen",11.32,2016,5,19,140,""
2016-05-19,"Bay_Intake","Environmental Sonde","pH",9.24,2016,5,19,140,""
2016-05-19,"Clemons_Surface","Environmental Sonde","Temperature",15.5,2016,5,19,140,""
2016-05-19,"Clemons_Surface","Environmental Sonde","Conductivity",514,2016,5,19,140,""
2016-05-19,"Clemons_Surface","Environmental Sonde","Dissolved_Oxygen",11.78,2016,5,19,140,""
2016-05-19,"Clemons_Surface","Environmental Sonde","pH",9.03,2016,5,19,140,""
2016-05-19,"Clemons","Environmental Sonde","Temperature",14.97,2016,5,19,140,""
2016-05-19,"Clemons","Environmental Sonde","Conductivity",512,2016,5,19,140,""
2016-05-19,"Clemons","Environmental Sonde","Dissolved_Oxygen",11.64,2016,5,19,140,""
2016-05-19,"Clemons","Environmental Sonde","pH",9.18,2016,5,19,140,""
2016-05-19,"Sandusky_River","Environmental Sonde","Temperature",17.04,2016,5,19,140,""
2016-05-19,"Sandusky_River","Environmental Sonde","Conductivity",563,2016,5,19,140,""
2016-05-19,"Sandusky_River","Environmental Sonde","Dissolved_Oxygen",10.68,2016,5,19,140,""
2016-05-19,"Sandusky_River","Environmental Sonde","pH",8.73,2016,5,19,140,""
2016-05-30,"Bay_Intake_Surface","Environmental Sonde","Temperature",25.03,2016,5,30,151,""
2016-05-30,"Bay_Intake_Surface","Environmental Sonde","Conductivity",457,2016,5,30,151,""
2016-05-30,"Bay_Intake_Surface","Environmental Sonde","Dissolved_Oxygen",9.38,2016,5,30,151,""
2016-05-30,"Bay_Intake_Surface","Environmental Sonde","pH",9.14,2016,5,30,151,""
2016-05-30,"Bay_Intake","Environmental Sonde","Temperature",25.09,2016,5,30,151,""
2016-05-30,"Bay_Intake","Environmental Sonde","Conductivity",455,2016,5,30,151,""
2016-05-30,"Bay_Intake","Environmental Sonde","Dissolved_Oxygen",9.58,2016,5,30,151,""
2016-05-30,"Bay_Intake","Environmental Sonde","pH",9.17,2016,5,30,151,""
2016-05-30,"Clemons_Surface","Environmental Sonde","Temperature",27.35,2016,5,30,151,""
2016-05-30,"Clemons_Surface","Environmental Sonde","Conductivity",496,2016,5,30,151,""
2016-05-30,"Clemons_Surface","Environmental Sonde","Dissolved_Oxygen",12.92,2016,5,30,151,""
2016-05-30,"Clemons_Surface","Environmental Sonde","pH",9.51,2016,5,30,151,""
2016-05-30,"Clemons","Environmental Sonde","Temperature",25.25,2016,5,30,151,""
2016-05-30,"Clemons","Environmental Sonde","Conductivity",494,2016,5,30,151,""
2016-05-30,"Clemons","Environmental Sonde","Dissolved_Oxygen",13.42,2016,5,30,151,""
2016-05-30,"Clemons","Environmental Sonde","pH",9.52,2016,5,30,151,""
2016-05-30,"Sandusky_River","Environmental Sonde","Temperature",26.49,2016,5,30,151,""
2016-05-30,"Sandusky_River","Environmental Sonde","Conductivity",649,2016,5,30,151,""
2016-05-30,"Sandusky_River","Environmental Sonde","Dissolved_Oxygen",14.34,2016,5,30,151,""
2016-05-30,"Sandusky_River","Environmental Sonde","pH",9.12,2016,5,30,151,""
2016-06-15,"Bells","Environmental Sonde","Temperature",NA,2016,6,15,167,""
2016-06-15,"Bells","Environmental Sonde","Conductivity",NA,2016,6,15,167,""
2016-06-15,"Bells","Environmental Sonde","Dissolved_Oxygen",NA,2016,6,15,167,""
2016-06-15,"Bells","Environmental Sonde","pH",NA,2016,6,15,167,""
2016-06-15,"EC_1163","Environmental Sonde","Temperature",NA,2016,6,15,167,""
2016-06-15,"EC_1163","Environmental Sonde","Conductivity",NA,2016,6,15,167,""
2016-06-15,"EC_1163","Environmental Sonde","Dissolved_Oxygen",NA,2016,6,15,167,""
2016-06-15,"EC_1163","Environmental Sonde","pH",NA,2016,6,15,167,""
2016-06-15,"ODNR_1","Environmental Sonde","Temperature",NA,2016,6,15,167,""
2016-06-15,"ODNR_1","Environmental Sonde","Conductivity",NA,2016,6,15,167,""
2016-06-15,"ODNR_1","Environmental Sonde","Dissolved_Oxygen",NA,2016,6,15,167,""
2016-06-15,"ODNR_1","Environmental Sonde","pH",NA,2016,6,15,167,""
2016-06-15,"ODNR_2","Environmental Sonde","Temperature",NA,2016,6,15,167,""
2016-06-15,"ODNR_2","Environmental Sonde","Conductivity",NA,2016,6,15,167,""
2016-06-15,"ODNR_2","Environmental Sonde","Dissolved_Oxygen",NA,2016,6,15,167,""
2016-06-15,"ODNR_2","Environmental Sonde","pH",NA,2016,6,15,167,""
2016-06-15,"ODNR_6","Environmental Sonde","Temperature",NA,2016,6,15,167,""
2016-06-15,"ODNR_6","Environmental Sonde","Conductivity",NA,2016,6,15,167,""
2016-06-15,"ODNR_6","Environmental Sonde","Dissolved_Oxygen",NA,2016,6,15,167,""
2016-06-15,"ODNR_6","Environmental Sonde","pH",NA,2016,6,15,167,""
2016-06-15,"ODNR_4","Environmental Sonde","Temperature",NA,2016,6,15,167,""
2016-06-15,"ODNR_4","Environmental Sonde","Conductivity",NA,2016,6,15,167,""
2016-06-15,"ODNR_4","Environmental Sonde","Dissolved_Oxygen",NA,2016,6,15,167,""
2016-06-15,"ODNR_4","Environmental Sonde","pH",NA,2016,6,15,167,""
2016-06-22,"Bells","Environmental Sonde","Temperature",22.45,2016,6,22,174,""
2016-06-22,"Bells","Environmental Sonde","Conductivity",312,2016,6,22,174,""
2016-06-22,"Bells","Environmental Sonde","Dissolved_Oxygen",11.48,2016,6,22,174,""
2016-06-22,"Bells","Environmental Sonde","pH",9.19,2016,6,22,174,""
2016-06-22,"EC_1163","Environmental Sonde","Temperature",23.37,2016,6,22,174,""
2016-06-22,"EC_1163","Environmental Sonde","Conductivity",301,2016,6,22,174,""
2016-06-22,"EC_1163","Environmental Sonde","Dissolved_Oxygen",10.88,2016,6,22,174,""
2016-06-22,"EC_1163","Environmental Sonde","pH",8.88,2016,6,22,174,""
2016-06-22,"ODNR_1","Environmental Sonde","Temperature",24.2,2016,6,22,174,""
2016-06-22,"ODNR_1","Environmental Sonde","Conductivity",360,2016,6,22,174,""
2016-06-22,"ODNR_1","Environmental Sonde","Dissolved_Oxygen",10.99,2016,6,22,174,""
2016-06-22,"ODNR_1","Environmental Sonde","pH",9.35,2016,6,22,174,""
2016-06-22,"ODNR_2","Environmental Sonde","Temperature",24.3,2016,6,22,174,""
