"Site","Date","Type","Analysis","count","year","month","day","DOY","notes","Group","Location"
"Bayside intake","2017-04-11","Nutrient","Ammonium",2.78,2017,4,11,101,NA,"Early","Not Normal"
"Bayside intake","2017-04-11","Nutrient","Nitrite",0,2017,4,11,101,NA,"Early","Not Normal"
"Bayside intake","2017-04-11","Nutrient","DRP",0.23,2017,4,11,101,NA,"Early","Not Normal"
"Bayside intake","2017-04-11","Nutrient","Silicate",3.57,2017,4,11,101,NA,"Early","Not Normal"
"Bayside intake","2017-04-11","Nutrient","Nitrate",127.8,2017,4,11,101,NA,"Early","Not Normal"
"Bayside intake","2017-04-11","Nutrient","TP",2.13,2017,4,11,101,NA,"Early","Not Normal"
"Bayside intake","2017-04-11","Nutrient","Chloride",846.19,2017,4,11,101,NA,"Early","Not Normal"
"Bayside intake","2017-04-11","Nutrient","Sulfate",1350,2017,4,11,101,NA,"Early","Not Normal"
"Bayside intake","2017-05-23","Nutrient","Ammonium",2.5,2017,5,23,143,NA,"Early","Not Normal"
"Bayside intake","2017-05-23","Nutrient","Nitrite",0,2017,5,23,143,NA,"Early","Not Normal"
"Bayside intake","2017-05-23","Nutrient","DRP",0.23,2017,5,23,143,NA,"Early","Not Normal"
"Bayside intake","2017-05-23","Nutrient","Silicate",7.5,2017,5,23,143,NA,"Early","Not Normal"
"Bayside intake","2017-05-23","Nutrient","Nitrate",71.39,2017,5,23,143,NA,"Early","Not Normal"
"Bayside intake","2017-05-23","Nutrient","TP",2.26,2017,5,23,143,NA,"Early","Not Normal"
"Bayside intake","2017-05-23","Nutrient","Chloride",868.76,2017,5,23,143,NA,"Early","Not Normal"
"Bayside intake","2017-05-23","Nutrient","Sulfate",1828.13,2017,5,23,143,NA,"Early","Not Normal"
"Buoy 2","2017-05-30","Nutrient","Ammonium",2.5,2017,5,30,150,NA,"Early","Outer Bay"
"Buoy 2","2017-05-30","Nutrient","Nitrite",0,2017,5,30,150,NA,"Early","Outer Bay"
"Buoy 2","2017-05-30","Nutrient","DRP",0.16,2017,5,30,150,NA,"Early","Outer Bay"
"Buoy 2","2017-05-30","Nutrient","Silicate",44.29,2017,5,30,150,NA,"Early","Outer Bay"
"Buoy 2","2017-05-30","Nutrient","Nitrate",103.52,2017,5,30,150,NA,"Early","Outer Bay"
"Buoy 2","2017-05-30","Nutrient","TP",2.71,2017,5,30,150,NA,"Early","Outer Bay"
"Buoy 2","2017-05-30","Nutrient","Chloride",702.34,2017,5,30,150,NA,"Early","Outer Bay"
"Buoy 2","2017-05-30","Nutrient","Sulfate",1859.38,2017,5,30,150,NA,"Early","Outer Bay"
"Buoy 2","2017-06-05","Nutrient","Ammonium",2.64,2017,6,5,156,NA,"Early","Outer Bay"
"Buoy 2","2017-06-05","Nutrient","Nitrite",0,2017,6,5,156,NA,"Early","Outer Bay"
"Buoy 2","2017-06-05","Nutrient","DRP",0.16,2017,6,5,156,NA,"Early","Outer Bay"
"Buoy 2","2017-06-05","Nutrient","Silicate",42.5,2017,6,5,156,NA,"Early","Outer Bay"
"Buoy 2","2017-06-05","Nutrient","Nitrate",72.82,2017,6,5,156,NA,"Early","Outer Bay"
"Buoy 2","2017-06-05","Nutrient","TP",2.58,2017,6,5,156,NA,"Early","Outer Bay"
"Buoy 2","2017-06-05","Nutrient","Chloride",496.43,2017,6,5,156,NA,"Early","Outer Bay"
"Buoy 2","2017-06-05","Nutrient","Sulfate",1096.88,2017,6,5,156,NA,"Early","Outer Bay"
"Bells","2017-06-05","Nutrient","Ammonium",2.57,2017,6,5,156,NA,"Early","Outer Bay"
"Bells","2017-06-05","Nutrient","Nitrite",0,2017,6,5,156,NA,"Early","Outer Bay"
"Bells","2017-06-05","Nutrient","DRP",0.13,2017,6,5,156,NA,"Early","Outer Bay"
"Bells","2017-06-05","Nutrient","Silicate",41.79,2017,6,5,156,NA,"Early","Outer Bay"
"Bells","2017-06-05","Nutrient","Nitrate",62.11,2017,6,5,156,NA,"Early","Outer Bay"
"Bells","2017-06-05","Nutrient","TP",0.45,2017,6,5,156,NA,"Early","Outer Bay"
"Bells","2017-06-05","Nutrient","Chloride",445.66,2017,6,5,156,NA,"Early","Outer Bay"
"Bells","2017-06-05","Nutrient","Sulfate",631.25,2017,6,5,156,NA,"Early","Outer Bay"
