"Site","Date","Type","Analysis","count","year","month","day","DOY","notes"
"Bayside_intake",2017-04-11,"Nutrient","Ammonium",2.78,2017,4,11,"101",""
"Bayside_intake",2017-04-11,"Nutrient","Nitrite",0,2017,4,11,"101",""
"Bayside_intake",2017-04-11,"Nutrient","DRP",0.23,2017,4,11,"101",""
"Bayside_intake",2017-04-11,"Nutrient","Silicate",3.57,2017,4,11,"101",""
"Bayside_intake",2017-04-11,"Nutrient","Nitrate",127.8,2017,4,11,"101",""
"Bayside_intake",2017-04-11,"Nutrient","TP",2.13,2017,4,11,"101",""
"Bayside_intake",2017-04-11,"Nutrient","Chloride",846.19,2017,4,11,"101",""
"Bayside_intake",2017-04-11,"Nutrient","Sulfate",1350,2017,4,11,"101",""
"Bayside_intake",2017-05-23,"Nutrient","Ammonium",2.5,2017,5,23,"143",""
"Bayside_intake",2017-05-23,"Nutrient","Nitrite",0,2017,5,23,"143",""
"Bayside_intake",2017-05-23,"Nutrient","DRP",0.23,2017,5,23,"143",""
"Bayside_intake",2017-05-23,"Nutrient","Silicate",7.5,2017,5,23,"143",""
"Bayside_intake",2017-05-23,"Nutrient","Nitrate",71.39,2017,5,23,"143",""
"Bayside_intake",2017-05-23,"Nutrient","TP",2.26,2017,5,23,"143",""
"Bayside_intake",2017-05-23,"Nutrient","Chloride",868.76,2017,5,23,"143",""
"Bayside_intake",2017-05-23,"Nutrient","Sulfate",1828.13,2017,5,23,"143",""
"Buoy_2",2017-05-30,"Nutrient","Ammonium",2.5,2017,5,30,"150",""
"Buoy_2",2017-05-30,"Nutrient","Nitrite",0,2017,5,30,"150",""
"Buoy_2",2017-05-30,"Nutrient","DRP",0.16,2017,5,30,"150",""
"Buoy_2",2017-05-30,"Nutrient","Silicate",44.29,2017,5,30,"150",""
"Buoy_2",2017-05-30,"Nutrient","Nitrate",103.52,2017,5,30,"150",""
"Buoy_2",2017-05-30,"Nutrient","TP",2.71,2017,5,30,"150",""
"Buoy_2",2017-05-30,"Nutrient","Chloride",702.34,2017,5,30,"150",""
"Buoy_2",2017-05-30,"Nutrient","Sulfate",1859.38,2017,5,30,"150",""
