"Site","Date","Type","Analysis","count","year","month","day","DOY","notes"
"Buoy_2",2017-05-30,"Total/Dissolved","mc_elisa_final",8.25172638173,2017,5,30,150,""
"Intake",2017-05-23,"Total/Dissolved","mc_elisa_final",13.64549733475,2017,5,23,143,""
"ODNR_4",2017-06-05,"Total/Dissolved","mc_elisa_final",11.72153640793,2017,6,5,156,""
"ODNR_6",2017-06-05,"Total/Dissolved","mc_elisa_final",9.92415499946,2017,6,5,156,""
"Bridge",2017-06-05,"Total/Dissolved","mc_elisa_final",13.35242378705,2017,6,5,156,""
"ODNR_2",2017-06-05,"Total/Dissolved","mc_elisa_final",15.10054381064,2017,6,5,156,""
"Buoy_2",2017-06-05,"Total/Dissolved","mc_elisa_final",17.45236666534,2017,6,5,156,""
"ODNR_1",2017-06-05,"Total/Dissolved","mc_elisa_final",13.49816517896,2017,6,5,156,""
"EC_1163",2017-06-05,"Total/Dissolved","mc_elisa_final",12.73884466502,2017,6,5,156,""
"Bells",2017-06-05,"Total/Dissolved","mc_elisa_final",1.07199872808,2017,6,5,156,""
"ODNR_4",2017-06-19,"Total/Dissolved","mc_elisa_final",9.85259092792,2017,6,19,170,""
"ODNR_6",2017-06-19,"Total/Dissolved","mc_elisa_final",24.79100030817,2017,6,19,170,""
"Bridge",2017-06-19,"Total/Dissolved","mc_elisa_final",19.17407670423,2017,6,19,170,""
"ODNR_2",2017-06-19,"Total/Dissolved","mc_elisa_final",9.8883082231,2017,6,19,170,""
"Buoy_2",2017-06-19,"Total/Dissolved","mc_elisa_final",20.24359375088,2017,6,19,170,""
"ODNR_1",2017-06-19,"Total/Dissolved","mc_elisa_final",16.95438264282,2017,6,19,170,""
"EC_1163",2017-06-19,"Total/Dissolved","mc_elisa_final",21.29556772997,2017,6,19,170,""
"Bells",2017-06-19,"Total/Dissolved","mc_elisa_final",13.35242378705,2017,6,19,170,""
"Clemons",2017-06-21,"Total/Dissolved","mc_elisa_final",25.51916141647,2017,6,21,172,""
"Buoy_2",2017-06-21,"Total/Dissolved","mc_elisa_final",13.89463320343,2017,6,21,172,""
"EC_1163",2017-06-21,"Total/Dissolved","mc_elisa_final",16.00063742106,2017,6,21,172,""
"ODNR_4",2017-06-26,"Total/Dissolved","mc_elisa_final",18.03010352899,2017,6,26,177,""
"ODNR_6",2017-06-26,"Total/Dissolved","mc_elisa_final",25.79770246375,2017,6,26,177,""
"Bridge",2017-06-26,"Total/Dissolved","mc_elisa_final",23.31190748001,2017,6,26,177,""
"ODNR_2",2017-06-26,"Total/Dissolved","mc_elisa_final",23.73753009957,2017,6,26,177,""
"Buoy_2",2017-06-26,"Total/Dissolved","mc_elisa_final",12.42021853206,2017,6,26,177,""
"Bells",2017-06-26,"Total/Dissolved","mc_elisa_final",5.00808639357,2017,6,26,177,""
"EC_1163",2017-06-26,"Total/Dissolved","mc_elisa_final",17.45236666534,2017,6,26,177,""
"ODNR_1",2017-06-26,"Total/Dissolved","mc_elisa_final",20.61319591274,2017,6,26,177,""
"Intake",2017-06-21,"Total/Dissolved","mc_elisa_final",0.05318793672,2017,6,21,172,""
"ODNR_4",2017-08-14,"Total/Dissolved","mc_elisa_final",8.45989012641,2017,8,14,226,"diluted"
"ODNR_6",2017-08-14,"Total/Dissolved","mc_elisa_final",11.64431978296,2017,8,14,226,"diluted"
"Bridge",2017-08-14,"Total/Dissolved","mc_elisa_final",8.28911906483,2017,8,14,226,"diluted"
"ODNR_1",2017-08-14,"Total/Dissolved","mc_elisa_final",7.37198419668,2017,8,14,226,"diluted"
"Buoy_2",2017-08-14,"Total/Dissolved","mc_elisa_final",8.1633068095,2017,8,14,226,"diluted"
"ODNR_2",2017-08-14,"Total/Dissolved","mc_elisa_final",7.14989853001,2017,8,14,226,"diluted"
"EC_1163",2017-08-14,"Total/Dissolved","mc_elisa_final",3.87801545754,2017,8,14,226,"diluted"
"ODNR_4",2017-08-28,"Total/Dissolved","mc_elisa_final",5.92077679985,2017,8,28,240,"diluted"
"ODNR_6",2017-08-28,"Total/Dissolved","mc_elisa_final",4.42767542211,2017,8,28,240,"diluted"
"Bridge",2017-08-28,"Total/Dissolved","mc_elisa_final",8.60488379847,2017,8,28,240,"diluted"
"ODNR_1",2017-08-28,"Total/Dissolved","mc_elisa_final",2.61448931084,2017,8,28,240,"diluted"
"Buoy_2",2017-08-28,"Total/Dissolved","mc_elisa_final",5.30159834534,2017,8,28,240,"diluted"
"ODNR_2",2017-08-28,"Total/Dissolved","mc_elisa_final",7.10146193505,2017,8,28,240,"diluted"
"EC_1163",2017-08-28,"Total/Dissolved","mc_elisa_final",0.96912119667,2017,8,28,240,"diluted"
"Bridge",2017-09-17,"Total/Dissolved","mc_elisa_final",6.61226966475,2017,9,17,260,"diluted"
"Shelby_st",2017-09-18,"Total/Dissolved","mc_elisa_final",5.15939005688,2017,9,18,261,"diluted"
"Intake A",2017-10-30,"Total/Dissolved","mc_elisa_final",4.87994431386,2017,10,30,303,""
"Intake B",2017-10-30,"Total/Dissolved","mc_elisa_final",4.24518391856,2017,10,30,303,""
"Intake C",2017-10-30,"Total/Dissolved","mc_elisa_final",4.15242824911,2017,10,30,303,""
"Muddy_Creek",2018-06-05,"Total/Dissolved","mc_elisa_final",NA,2018,6,5,156,"no sample"
"ODNR_4",2018-06-05,"Total/Dissolved","mc_elisa_final",NA,2018,6,5,156,"no sample"
"ODNR_6",2018-06-05,"Total/Dissolved","mc_elisa_final",NA,2018,6,5,156,"no sample"
"Bridge",2018-06-05,"Total/Dissolved","mc_elisa_final",NA,2018,6,5,156,"no sample"
"ODNR_2",2018-06-05,"Total/Dissolved","mc_elisa_final",NA,2018,6,5,156,"no sample"
